Sym,LotSize,Start,End,RSI,ADXMin,ADXMax,StopLoss,StopGain
SBILIFE,750,2021-01-01,2022-01-01,70,30,40,6500,13000
SBIN,1500,2021-01-01,2022-01-01,70,30,40,6500,13000
SHREECEM,25,2021-01-01,2022-01-01,70,30,40,6500,13000
SIEMENS,275,2021-01-01,2022-01-01,70,30,40,6500,13000
SRF,375,2021-01-01,2022-01-01,70,30,40,6500,13000
SRTRANSFIN,400,2021-01-01,2022-01-01,70,30,40,6500,13000
STAR,900,2021-01-01,2022-01-01,70,30,40,6500,13000
SUNPHARMA,700,2021-01-01,2022-01-01,70,30,40,6500,13000
SUNTV,1500,2021-01-01,2022-01-01,70,30,40,6500,13000
SYNGENE,850,2021-01-01,2022-01-01,70,30,40,6500,13000
TATACHEM,1000,2021-01-01,2022-01-01,70,30,40,6500,13000
TATACONSUM,675,2021-01-01,2022-01-01,70,30,40,6500,13000
TATAMOTORS,2850,2021-01-01,2022-01-01,70,30,40,6500,13000
TATAPOWER,6750,2021-01-01,2022-01-01,70,30,40,6500,13000
TATASTEEL,425,2021-01-01,2022-01-01,70,30,40,6500,13000
TCS,150,2021-01-01,2022-01-01,70,30,40,6500,13000
TECHM,600,2021-01-01,2022-01-01,70,30,40,6500,13000
TITAN,375,2021-01-01,2022-01-01,70,30,40,6500,13000
TORNTPHARM,250,2021-01-01,2022-01-01,70,30,40,6500,13000
TORNTPOWER,1500,2021-01-01,2022-01-01,70,30,40,6500,13000
TRENT,725,2021-01-01,2022-01-01,70,30,40,6500,13000
TVSMOTOR,1400,2021-01-01,2022-01-01,70,30,40,6500,13000
UBL,350,2021-01-01,2022-01-01,70,30,40,6500,13000
ULTRACEMCO,100,2021-01-01,2022-01-01,70,30,40,6500,13000
UPL,1300,2021-01-01,2022-01-01,70,30,40,6500,13000
VEDL,3100,2021-01-01,2022-01-01,70,30,40,6500,13000
VOLTAS,500,2021-01-01,2022-01-01,70,30,40,6500,13000
WHIRLPOOL,250,2021-01-01,2022-01-01,70,30,40,6500,13000
WIPRO,800,2021-01-01,2022-01-01,70,30,40,6500,13000
ZEEL,3000,2021-01-01,2022-01-01,70,30,40,6500,13000
